"","Partition","Min","1st_Qu.","Median","Mean","3rd_Qu.","Max","Year"
"1","gpu-prodq",54,93720,187386,133063.333333333,199568,211750,"2022"
"2","long30dq",144926,144926,144926,144926,144926,144926,"2022"
"3","longq",4,62865,132264,1954054.77358491,257162,23197127,"2022"
"4","mediumq",18,66147,222510,470647.780487805,316589,5761273,"2022"
"5","shortq",25249,100321.25,175393.5,175393.5,250465.75,325538,"2022"
"6","defq",0,9,20,5408.86009262833,299.75,858571,"2023"
"7","demoq",0,0,1,584.5875,1,35037,"2023"
"8","gpu-prodq",0,1.5,27,60789.7401360544,53194,1161190,"2023"
"9","gpu-testq",0,13,188,39166.2883895131,32147,686508,"2023"
"10","long30dq",1,14.75,123,169854.6953125,35622.25,4205936,"2023"
"11","longq",0,14,56,87836.7969176959,24382,14832233,"2023"
"12","mediumq",0,9,23,39751.0646105976,8888,3704050,"2023"
"13","shortq",0,10,25,26302.89625323,5137.5,4105655,"2023"
"14","defq",0,11,24,2645.13906911142,938,511173,"2024"
"15","demoq",0,0,1,2774.02597402597,1,213555,"2024"
"16","gpu-prodq",0,17.25,38444,79881.0358649789,90256.5,903060,"2024"
"17","gpu-testq",0,1,11,45399.2592592593,1285,814537,"2024"
"18","long30dq",0,7,23,83418.298136646,60294,1576199,"2024"
"19","longq",0,9,25,61076.8713136729,9242,6898527,"2024"
"20","mediumq",0,14,1390.5,65564.3562542031,38229,3624339,"2024"
"21","shortq",0,13,81,26407.8429517502,7274,5547218,"2024"
